Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11
0	0.5001474	0.140429	0.03215515	0.006090951	0.0009760904	0.0001358016	1.682565E-05	1.898831E-06	1.988708E-07	1.961894E-08	1.844143E-09
0.001	0.5026236	0.1414562	0.03250705	0.006191941	0.001000925	0.0001411722	1.787395E-05	2.087943E-06	2.310759E-07	2.489804E-08	2.693668E-09
0.002	0.5051081	0.1424888	0.03286178	0.006294201	0.001026245	0.0001467079	1.897312E-05	2.291693E-06	2.672994E-07	3.125226E-08	3.829879E-09
0.003	0.5076007	0.1435267	0.03321938	0.006397739	0.001052058	0.0001524121	2.012495E-05	2.5109E-06	3.079015E-07	3.883695E-08	5.319887E-09
0.004	0.5101016	0.1445701	0.03357985	0.006502567	0.001078372	0.0001582884	2.133125E-05	2.74641E-06	3.532629E-07	4.782123E-08	7.239702E-09
0.005	0.5126107	0.1456187	0.03394321	0.006608696	0.001105191	0.0001643407	2.259387E-05	2.999099E-06	4.037852E-07	5.838874E-08	9.675922E-09
0.006	0.5151281	0.1466728	0.03430947	0.006716136	0.001132523	0.0001705725	2.39147E-05	3.269872E-06	4.598906E-07	7.073837E-08	1.272552E-08
0.007	0.5176538	0.1477323	0.03467864	0.006824898	0.001160376	0.0001769878	2.529568E-05	3.559662E-06	5.220237E-07	8.508422E-08	1.649701E-08
0.008	0.5201878	0.1487973	0.03505074	0.006934993	0.001188755	0.0001835903	2.673877E-05	3.869437E-06	5.90651E-07	1.016569E-07	2.111078E-08
0.009	0.52273	0.1498676	0.03542579	0.007046431	0.001217667	0.0001903839	2.824599E-05	4.200188E-06	6.662615E-07	1.207038E-07	2.669937E-08
0.01	0.5252805	0.1509435	0.0358038	0.007159224	0.00124712	0.0001973726	2.981937E-05	4.552943E-06	7.493678E-07	1.424892E-07	3.340876E-08
0.011	0.5278394	0.1520248	0.03618478	0.007273383	0.001277121	0.0002045602	3.1461E-05	4.928759E-06	8.405056E-07	1.672951E-07	4.13981E-08
0.012	0.5304066	0.1531116	0.03656875	0.007388918	0.001307677	0.0002119509	3.317302E-05	5.328723E-06	9.402346E-07	1.95422E-07	5.084107E-08
0.013	0.5329821	0.1542039	0.03695573	0.00750584	0.001338794	0.0002195487	3.495758E-05	5.753955E-06	1.049139E-06	2.271888E-07	6.192586E-08
0.014	0.535566	0.1553017	0.03734571	0.007624161	0.001370479	0.0002273577	3.681689E-05	6.205608E-06	1.167828E-06	2.62934E-07	7.485571E-08
0.015	0.5381582	0.1564051	0.03773873	0.007743892	0.001402741	0.000235382	3.875321E-05	6.684867E-06	1.296936E-06	3.030156E-07	8.984996E-08
0.016	0.5407588	0.157514	0.0381348	0.007865043	0.001435586	0.0002436258	4.076882E-05	7.192948E-06	1.437124E-06	3.478117E-07	1.07144E-07
0.017	0.5433678	0.1586284	0.03853393	0.007987626	0.001469022	0.0002520935	4.286604E-05	7.731103E-06	1.589077E-06	3.977216E-07	1.269903E-07
0.018	0.5459852	0.1597485	0.03893612	0.008111652	0.001503056	0.0002607893	4.504725E-05	8.300616E-06	1.753509E-06	4.531653E-07	1.496584E-07
0.019	0.5486109	0.1608741	0.03934142	0.008237133	0.001537694	0.0002697175	4.731485E-05	8.902804E-06	1.931159E-06	5.145845E-07	1.754361E-07
0.02	0.5512452	0.1620054	0.03974981	0.008364079	0.001572946	0.0002788826	4.967131E-05	9.539021E-06	2.122794E-06	5.824434E-07	2.046291E-07
